Sr. No.,Bank Name,Volume (Actual)-Jan2017,Value (In Rs'000)-Jan2017,Volume (Actual)-Dec2016,Value (In Rs'000)-Dec2016,Volume (Actual)-Nov2016,Value (In Rs'000)-Nov2016,Volume (Actual)-Oct2016,Value (In Rs'000)-Oct2016,Volume (Actual)-Sept2016,Value (In Rs'000)-Sept2016,Volume (Actual)-Aug2016,Value (In Rs'000)-Aug2016,Volume (Actual)-July2016,Value (In Rs'000)-July2016,Volume (Actual)-June2016,Value (In Rs'000)-June2016,Volume (Actual)-May2016,Value (In Rs'000)-May2016
1,A P MAHESH CO-OP URBAN BANK LTD,2255,42870,2048,37533,1864,33975,1894,36520,1720,31671,1638,32125,1607,26202,1532,22400,1607,26202
2,ALLAHABAD BANK,339479,2571865,321091,2044808,252877,1473188,222019,1089805,203473,924145,201236,893994,197397,874037,182499,841948,197397,874037
3,ANDHRA BANK,624279,4899215,561393,3408886,354924,1928828,230041,1462094,233067,1395276,196063,1278568,142678,1060905,139301,1039832,142678,1060905
4,AXIS BANK LTD,11630395,123832986,12282565,117650909,9837562,92191865,9199760,88125931,8663571,79509138,8540962,77308764,8446405,75970756,8207877,75759578,8446405,75970756
5,BANDHAN BANK,20993,294399,16597,206057,12549,172562,12142,124947,10192,108363,8694,83815,5566,79894,5007,71387,5566,79894
6,BANK OF BARODA,1502563,7970259,1552160,7717430,1395242,6556180,1313579,5968151,1221088,5099385,1159471,4629513,1086821,4297334,976018,3962792,1086821,4297334
7,BANK OF INDIA,9853,62498,19064,124708,14031,97741,16020,107225,28974,207433,15008,183121,24615,176353,21540,166846,24615,176353
8,BANK OF MAHARASHTRA,144397,1534300,184769,1663900,98714,1117400,91799,1098115,83018,931943,74468,869908,74468,869908,70092,862722,74468,869908
9,BASSEIN CATHOLIC CO-OP. BANK LTD,2324,56905,2283,49102,1966,46806,1782,50894,1639,41437,1542,35771,1540,28262,1462,26561,1540,28262
10,CANARA BANK,3203370,23542716,2962185,20481401,1845719,13122256,1710876,11111361,1576505,9500323,1495662,8759755,1361031,8129223,1232294,7439041,1361031,8129223
11,CATHOLIC SYRIAN BANK LIMITED,5004,37997,6462,55581,5741,50416,5204,43919,4775,42080,5000,41868,4878,41951,4538,38305,4878,41951
12,CENTRAL BANK OF INDIA,429582,1753859,341837,1289120,246073,788292,223242,637315,234744,912794,205633,896165,206489,837723,120137,724246,206489,837723
13,CITI BANK,894623,12820569,971371,13153061,730544,10315152,740902,11234202,660286,9273055,643653,8915701,688724,9618859,595713,8202897,688724,9618859
14,CITY UNION BANK,278305,1943200,260195,1725725,176609,1252558,188874,1381923,169270,1180712,204205,1163187,143491,1072624,125441,937297,143491,1072624
15,CORPORATION BANK,195970,2144022,174520,1701479,112574,1100260,106848,986697,102945,892141,105198,858539,103086,789212,75359,717057,103086,789212
16,DBS BANK LIMITED,530562,1758188,421027,1636425,291328,1191356,173214,778321,133392,575993,73065,452693,35266,338325,70384,404318,35266,338325
17,DENA BANK,23349,149676,22268,149618,16004,139543,14010,116749,15723,131888,14738,119812,13415,113038,100686,95807,13415,113038
18,DEVELOPMENT CREDIT BANK LTD,59851,709890,57091,648388,37772,453229,27811,261503,42256,547953,41472,523302,38868,502696,34484,439824,38868,502696
19,DHANLAXMI BANK LIMITED,14197,87218,14302,99542,9788,59286,7856,40279,7139,32295,6307,29580,5803,28198,5126,22627,5803,28198
20,DOMBIVALI NAGRIK SAHAKARI LTD,19226,108077,15180,80734,8869,56908,7160,53394,6728,45732,6822,39785,6080,43316,5483,37185,6080,43316
21,FEDERAL BANK LTD.,1313103,9302260,1273540,7872017,887211,5459051,732497,4406556,736666,4166426,695876,4033257,614826,3387310,540988,3038770,614826,3387310
22,GREATER BOMBAY CO.OP BANK LIMITED,27452,198898,26093,177376,17322,125145,13548,126125,12043,98634,7121,93212,13249,76195,9455,78473,13249,76195
23,HDFC BANK LTD.,28007193,157800556,28568379,150056062,24135339,146459488,22847490,153528624,19689992,122140889,19612612,126490219,19096181,122306675,17174204,116984145,19096181,122306675
24,HSBC,12993,496850,13989,581064,11788,431856,11462,479442,9621,426747,9819,461372,10753,499268,9638,424656,10753,499268
25,ICICI BANK LTD,15964873,298633280,17415898,272166952,13299846,231970279,11485137,203854736,10183456,175614931,9580868,139790716,9272750,144390700,8403013,124290088,9272750,144390700
26,IDBI LTD.,50331,260643,56621,285818,46568,113687,42151,200739,36926,165811,43364,190696,43645,197876,42331,201815,43645,197876
27,INDIAN BANK,1174957,7106004,937134,4884199,760104,4249237,614225,3173896,617990,3073692,577963,2822546,511562,2209166,472044,2318169,511562,2209166
